service_id,date,exception_type
BFA25GEN-J056-Weekday-00_C27,20251215,2
BFA25GEN-J056-Weekday-00_C27,20251216,2
BFA25GEN-J056-Weekday-00_C27,20251217,2
BFA25GEN-J056-Weekday-00_C27,20251225,2
BFA25GEN-J056-Weekday-00_C27,20260101,2
BFA25GEN-J056-Weekday-00_C27,20260119,2
BFA25GEN-J056-Weekday-00_C27,20260216,2
BFA25GEN-L027-Saturday-00_C13,20251213,2
BFA25GEN-L027-Saturday-00_C13,20260119,1
BFA25GEN-L027-Saturday-00_C13,20260216,1
BFA25GEN-L027-Sunday-00_C40,20251127,1
BFA25GEN-L027-Sunday-00_C40,20251214,2
BFA25GEN-L027-Sunday-00_C40,20251225,1
BFA25GEN-L027-Sunday-00_C40,20260101,1
BFA25GEN-L053-Weekday-00_C55,20251127,2
BFA25GEN-L053-Weekday-00_C55,20251209,2
BFA25GEN-L053-Weekday-00_C55,20251210,2
BFA25GEN-L053-Weekday-00_C55,20251211,2
BFA25GEN-L053-Weekday-00_C55,20251212,2
BFA25GEN-L053-Weekday-00_C55,20251215,2
BFA25GEN-L053-Weekday-00_C55,20251216,2
BFA25GEN-L053-Weekday-00_C55,20251217,2
BFA25GEN-L053-Weekday-00_C55,20251225,2
BFA25GEN-L053-Weekday-00_C55,20260101,2
BFA25GEN-L053-Weekday-00_C55,20260119,2
BFA25GEN-L053-Weekday-00_C55,20260216,2
BFA25GEN-M027-Sunday-00_C41,20251127,1
BFA25GEN-M027-Sunday-00_C41,20251214,2
BFA25GEN-M027-Sunday-00_C41,20251225,1
BFA25GEN-M027-Sunday-00_C41,20260101,1
BFA25GEN-M028-Saturday-00_C44,20251213,2
BFA25GEN-M028-Saturday-00_C44,20260119,1
BFA25GEN-M028-Saturday-00_C44,20260216,1
BFA25GEN-M093-Weekday-00_C11,20251127,2
BFA25GEN-M093-Weekday-00_C11,20251209,2
BFA25GEN-M093-Weekday-00_C11,20251210,2
BFA25GEN-M093-Weekday-00_C11,20251211,2
BFA25GEN-M093-Weekday-00_C11,20251212,2
BFA25GEN-M093-Weekday-00_C11,20251215,2
BFA25GEN-M093-Weekday-00_C11,20251216,2
BFA25GEN-M093-Weekday-00_C11,20251217,2
BFA25GEN-M093-Weekday-00_C11,20251225,2
BFA25GEN-M093-Weekday-00_C11,20260101,2
BFA25GEN-M093-Weekday-00_C11,20260119,2
BFA25GEN-M093-Weekday-00_C11,20260216,2
BFA25GEN-N057-Saturday-00_C34,20251213,2
BFA25GEN-N057-Saturday-00_C34,20260119,1
BFA25GEN-N057-Saturday-00_C34,20260216,1
BFA25GEN-N060-Sunday-00_C4,20251127,1
BFA25GEN-N060-Sunday-00_C4,20251214,2
BFA25GEN-N060-Sunday-00_C4,20251225,1
BFA25GEN-N060-Sunday-00_C4,20260101,1
BFA25GEN-N101-Weekday-00_C26,20251127,2
BFA25GEN-N101-Weekday-00_C26,20251209,2
BFA25GEN-N101-Weekday-00_C26,20251210,2
BFA25GEN-N101-Weekday-00_C26,20251211,2
BFA25GEN-N101-Weekday-00_C26,20251212,2
BFA25GEN-N101-Weekday-00_C26,20251215,2
BFA25GEN-N101-Weekday-00_C26,20251216,2
BFA25GEN-N101-Weekday-00_C26,20251217,2
BFA25GEN-N101-Weekday-00_C26,20251225,2
BFA25GEN-N101-Weekday-00_C26,20260101,2
BFA25GEN-N101-Weekday-00_C26,20260119,2
BFA25GEN-N101-Weekday-00_C26,20260216,2
BFA25GEN-Q022-Saturday-00_C24,20251213,2
BFA25GEN-Q022-Saturday-00_C24,20260119,1
BFA25GEN-Q022-Saturday-00_C24,20260216,1
BFA25GEN-Q024-Sunday-00_C31,20251127,1
BFA25GEN-Q024-Sunday-00_C31,20251214,2
BFA25GEN-Q024-Sunday-00_C31,20251225,1
BFA25GEN-Q024-Sunday-00_C31,20260101,1
BFA25GEN-Q071-Weekday-00_C42,20251127,2
BFA25GEN-Q071-Weekday-00_C42,20251209,2
